,Project,Survey,Work_Area,Organization,Year,Month,Day,Hakai.ID,Date,Depth,Location.ID,Site_ID,Lat,Long,Season,Feature,Site_ID_Depth_Season,Site_ID_Depth_Date,CTD_depth,Conductivity,Temperature,Pressure,PAR,Fluorometry,Turbidity,Dissolved_O2,Salinity,Depth_feature,Label,Line_Out_Depth
201,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA201,2023-05-08,0,Bute,BU1,50.37,-125.08,Spring,Surface,BU1_Spring_Surface_2023,BU1_Surface_8.5.2023,1.961007241,30.06243051,10.99829796,2,192.36045,9.625424834,1.454324214,6.56799758,26.20022254,top_10m,BU1_surface_1,0
708,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3444,2019-06-25,0,Bute,BU1,50.37,-125.08,Summer,Surface,BU1_Summer_Surface_2019,BU1_Surface_25.6.2019,0.955,15.97793,15.6163,1,-1.314,1.3193,2.319,7.75,11.6332,top_10m,BU1_0_1,0
540,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA548,2023-08-23,0,Bute,BU1,50.37,-125.08,Summer,Surface,BU1_Summer_Surface_2023,BU1_Surface_23.8.2023,0.888782582,26.7217879,11.92547356,1,44.568107,5.606702064,1.384835708,5.074004196,22.44118155,top_10m,,0
571,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA580,2023-11-16,0,Bute,BU1,50.37,-125.08,Fall,Surface,BU1_Fall_Surface_2023,BU1_Surface_16.11.2023,1.934968037,28.17403701,8.419986762,NA,56.76662286,0.338646761,0.226486997,5.150566427,26.1946374,top_10m,,
694,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3412,2019-06-25,100,Bute,BU2,50.4683,-125.0767,Summer,100m,BU2_Summer_100m_2019,BU2_100m_25.6.2019,99.162,32.89224,9.0396,100,-0.733,0.1231,1.158,3.2777,30.5002,100m,BU2_100_3,100
692,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3410,2019-06-25,10,Bute,BU2,50.4683,-125.0767,Summer,10m,BU2_Summer_10m_2019,BU2_10m_25.6.2019,10.883,31.7287,10.2267,11,-0.675,10.346,3.466,5.0214,28.3917,top_10m,BU2_10_3,10
693,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3411,2019-06-25,25,Bute,BU2,50.4683,-125.0767,Summer,25m,BU2_Summer_25m_2019,BU2_25m_25.6.2019,24.75,32.43858,9.4435,25,-0.683,0.802,1.397,4.0375,29.728,10-deep,BU2_25_3,25
691,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3409,2019-06-25,5,Bute,BU2,50.4683,-125.0767,Summer,5m,BU2_Summer_5m_2019,BU2_5m_25.6.2019,5.055,25.74431,13.6001,5,-0.676,15.0134,5.07,7.037,20.6073,top_10m,BU2_5_3,5
695,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3413,2019-06-25,650,Bute,BU2,50.4683,-125.0767,Summer,bottom,BU2_Summer_bottom_2019,BU2_bottom_25.6.2019,620.435,33.98857,9.6404,627,-1.33,0.1078,1.058,2.2449,30.8862,bottom,BU2_650_3,650
690,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3408,2019-06-25,0,Bute,BU2,50.4683,-125.0767,Summer,Surface,BU2_Summer_Surface_2019,BU2_Surface_25.6.2019,1.23,9.90443,16.0408,1,-0.674,1.1138,5.814,7.5241,6.8608,top_10m,BU2_0_3,0
63,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA045,2023-02-01,100,Bute,BU4,50.5883,-124.9033,Winter,100m,BU4_Winter_100m_2023,BU4_100m_1.2.2023,99.10935451,31.47791401,7.738042492,100,0.403544686,0.098677755,0.257082648,4.185861651,30.14378555,100m,BU4_100m_1,100
215,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA215,2023-05-08,100,Bute,BU4,50.5883,-124.9033,Spring,100m,BU4_Spring_100m_2023,BU4_100m_8.5.2023,99.16890207,32.0011895,8.176639463,100,0.524600833,0.088233319,0.229664579,3.11080107,30.31675279,100m,BU4_100m_1,100
667,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3315,2019-06-25,100,Bute,BU4,50.5883,-124.9033,Summer,100m,BU4_Summer_100m_2019,BU4_100m_25.6.2019,99.161,32.94983,9.1108,100,-0.797,0.1192,1.377,2.943,30.4984,100m,BU4_100_3,100
740,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4893,2022-07-08,100,Bute,BU4,50.5883,-124.9033,Summer,100m,BU4_Summer_100m_2022,BU4_100m_8.7.2022,99.119,32.365168,8.6672,100,0.000038657,0.12586,0.209,3.0759,30.275,100m,BU4_100_1,100
554,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA562,2023-08-23,100,Bute,BU4,50.5883,-124.9033,Summer,100m,BU4_Summer_100m_2023,BU4_100m_23.8.2023,100.1056054,32.46471077,8.54598486,101,0.580869433,0.087109765,0.3265441,2.853770743,30.48189575,100m,,100
585,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA594,2023-11-16,100,Bute,BU4,50.5883,-124.9033,Fall,100m,BU4_Fall_100m_2023,BU4_100m_16.11.2023,100.0767499,32.22545262,8.683252603,NA,0.390279333,0.088450902,0.1902697,3.008317312,30.11623691,100m,,
61,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA043,2023-02-01,10,Bute,BU4,50.5883,-124.9033,Winter,10m,BU4_Winter_10m_2023,BU4_10m_1.2.2023,9.893293998,30.00695862,7.295579093,10,32.38727833,0.697225902,0.302095457,4.931668517,28.99489893,top_10m,BU4_10m_1,10
213,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA213,2023-05-08,10,Bute,BU4,50.5883,-124.9033,Spring,10m,BU4_Spring_10m_2023,BU4_10m_8.5.2023,9.966514811,31.67515084,8.859675574,10,20.4883,1.904078333,0.3133631,5.30795006,29.4385181,top_10m,BU4_10m_1,10
665,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3313,2019-06-25,10,Bute,BU4,50.5883,-124.9033,Summer,10m,BU4_Summer_10m_2019,BU4_10m_25.6.2019,9.923,31.99625,9.9463,10,-0.762,0.3265,2.143,4.4455,28.8795,top_10m,BU4_10_3,10
552,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA560,2023-08-23,10,Bute,BU4,50.5883,-124.9033,Summer,10m,BU4_Summer_10m_2023,BU4_10m_23.8.2023,10.90746778,31.80632755,9.859221951,11,3.134786667,0.705582672,0.644042979,3.73553024,28.7588147,top_10m,,10
583,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA592,2023-11-16,10,Bute,BU4,50.5883,-124.9033,Fall,10m,BU4_Fall_10m_2023,BU4_10m_16.11.2023,10.94782517,31.41328008,9.220362444,NA,36.3533275,0.28924775,0.185263175,4.324780128,28.87525481,top_10m,,
666,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3314,2019-06-25,25,Bute,BU4,50.5883,-124.9033,Summer,25m,BU4_Summer_25m_2019,BU4_25m_25.6.2019,24.756,32.26862,9.3873,25,-0.764,0.1524,1.533,4.1095,29.602,10-deep,BU4_25_3,25
738,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4891,2022-07-08,30,Bute,BU4,50.5883,-124.9033,Summer,30m,BU4_Summer_30m_2022,BU4_30m_8.7.2022,29.741,31.231276,9.7434,30,0.66432,0.22705,0.258,4.0102,28.2677,10-deep,BU4_30_1,30
664,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3312,2019-06-25,5,Bute,BU4,50.5883,-124.9033,Summer,5m,BU4_Summer_5m_2019,BU4_5m_25.6.2019,5.098,21.28533,13.1895,5,-0.758,2.5066,8.212,5.2219,16.9681,top_10m,BU4_5_3,5
66,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA048,2023-02-01,591.1423,Bute,BU4,50.5883,-124.9033,Winter,bottom,BU4_Winter_bottom_2023,BU4_bottom_1.2.2023,619.7145864,33.38001476,9.043550324,626,0.4148261,0.082329599,0.542048986,1.799842809,30.77890383,bottom,BU4_bottom_1,593
218,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA218,2023-05-08,586.5033,Bute,BU4,50.5883,-124.9033,Spring,bottom,BU4_Spring_bottom_2023,BU4_bottom_8.5.2023,606.8711008,33.17798786,8.849752967,613,0.40563704,0.069192004,0.33764571,2.988374953,30.74365917,bottom,BU4_bottom_1,593
668,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3316,2019-06-25,630,Bute,BU4,50.5883,-124.9033,Summer,bottom,BU4_Summer_bottom_2019,BU4_bottom_25.6.2019,598.939,33.93958,9.6018,605,-1.293,0.1084,1.293,2.1784,30.8786,bottom,BU4_630_3,630
742,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4895,2022-07-08,400,Bute,BU4,50.5883,-124.9033,Summer,bottom,BU4_Summer_bottom_2022,BU4_bottom_8.7.2022,396.188,33.309411,9.1042,400,0.000072232,0.12305,0.201,2.1891,30.7475,bottom,BU4_400_1,400
557,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA565,2023-08-23,595.462,Bute,BU4,50.5883,-124.9033,Summer,bottom,BU4_Summer_bottom_2023,BU4_bottom_23.8.2023,595.9670909,33.01709089,8.688415661,602,0.464386067,0.071757597,0.317168672,2.945230994,30.72125687,bottom,,593
588,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA597,2023-11-16,594,Bute,BU4,50.5883,-124.9033,Fall,bottom,BU4_Fall_bottom_2023,BU4_bottom_16.11.2023,594.9393242,33.12133498,8.787134074,NA,0.428143367,0.072931803,0.393391529,2.698264971,30.74410322,bottom,,
59,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA041,2023-02-01,0,Bute,BU4,50.5883,-124.9033,Winter,Surface,BU4_Winter_Surface_2023,BU4_Surface_1.2.2023,1.899521842,28.52693994,6.176832259,2,142.8074333,0.807709017,0.418768367,5.676969191,28.33370538,top_10m,BU4_surface_1,0
211,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA211,2023-05-08,0,Bute,BU4,50.5883,-124.9033,Spring,Surface,BU4_Spring_Surface_2023,BU4_Surface_8.5.2023,1.960286917,22.98021026,12.4895587,2,310.6604,3.685654144,1.917592763,7.266498618,18.73459051,top_10m,BU4_surface_1,0
663,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3311,2019-06-25,0,Bute,BU4,50.5883,-124.9033,Summer,Surface,BU4_Summer_Surface_2019,BU4_Surface_25.6.2019,0.977,4.09143,15.6074,1,-0.76,0.3348,10.685,7.365,2.6929,top_10m,BU4_0_3,0
550,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA558,2023-08-23,0,Bute,BU4,50.5883,-124.9033,Summer,Surface,BU4_Summer_Surface_2023,BU4_Surface_23.8.2023,0.972517958,9.065755946,14.15138667,1,60.05454111,3.211532373,3.648626398,6.35257283,6.5430398,top_10m,,0
581,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA590,2023-11-16,0,Bute,BU4,50.5883,-124.9033,Fall,Surface,BU4_Fall_Surface_2023,BU4_Surface_16.11.2023,1.966364788,21.75464403,7.509261022,NA,134.35376,0.42609355,1.025787016,5.836146073,20.24278268,top_10m,,
709,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3445,2019-06-25,0,Bute,BU5,50.67769141,-124.8888271,Summer,Surface,BU5_Summer_Surface_2019,BU5_Surface_25.6.2019,2.081,3.0493,14.5047,2,-0.622,0.682,16.581,7.817,2.0268,top_10m,BU5_0_1,0
710,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3447,2019-06-25,0,Bute,BU6,50.755,-124.9,Summer,Surface,BU6_Summer_Surface_2019,BU6_Surface_25.6.2019,1.892,2.17489,14.2564,2,-0.681,0.5006,18.542,7.611,1.4272,top_10m,BU6_0_1,0
73,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA055,2023-02-01,100,Bute,BU7,50.83,-124.8917,Winter,100m,BU7_Winter_100m_2023,BU7_100m_1.2.2023,99.04881765,31.52377021,7.691911444,100,0.361934317,0.091651629,0.461798258,3.888331677,30.23235388,100m,BU7_100m_1,100
225,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA225,2023-05-08,100,Bute,BU7,50.83,-124.8917,Spring,100m,BU7_Spring_100m_2023,BU7_100m_8.5.2023,99.06473741,31.92974627,8.080509556,100,0.5675425,0.075789361,0.471343446,3.111308157,30.32477147,100m,BU7_100m_1,100
746,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4899,2022-07-08,100,Bute,BU7,50.83,-124.8917,Summer,100m,BU7_Summer_100m_2022,BU7_100m_8.7.2022,99.119,32.773931,9.1186,100,0.000045132,0.12227,0.748,2.0296,30.3115,100m,BU7_100_1,100
564,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA572,2023-08-23,100,Bute,BU7,50.83,-124.8917,Summer,100m,BU7_Summer_100m_2023,BU7_100m_23.8.2023,100.1004065,32.31294153,8.403781825,101,0.489306871,0.075076865,0.881022509,2.550234046,30.44647226,100m,,100
595,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA604,2023-11-16,100,Bute,BU7,50.83,-124.8917,Fall,100m,BU7_Fall_100m_2023,BU7_100m_16.11.2023,100.1156499,31.8561401,8.141691286,NA,0.399737771,0.084219408,0.518284994,2.852562526,30.19429281,100m,,
71,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA053,2023-02-01,10,Bute,BU7,50.83,-124.8917,Winter,10m,BU7_Winter_10m_2023,BU7_10m_1.2.2023,9.895464513,29.22870803,6.635158926,10,15.809815,0.844468636,0.41258168,5.539683628,28.71147392,top_10m,BU7_10m_1,10
223,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA223,2023-05-08,10,Bute,BU7,50.83,-124.8917,Spring,10m,BU7_Spring_10m_2023,BU7_10m_8.5.2023,9.910978503,31.08543922,8.260697533,10,0.53289528,0.25396284,1.9045066,5.277313084,29.32592998,top_10m,BU7_10m_1,10
562,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA570,2023-08-23,10,Bute,BU7,50.83,-124.8917,Summer,10m,BU7_Summer_10m_2023,BU7_10m_23.8.2023,10.88143557,31.59921039,9.802221185,11,0.420528983,0.1189744,1.369903333,3.89634448,28.59693782,top_10m,,10
593,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA602,2023-11-16,10,Bute,BU7,50.83,-124.8917,Fall,10m,BU7_Fall_10m_2023,BU7_10m_16.11.2023,10.93082385,31.428761,9.170044937,NA,17.50586,0.462497683,0.361151774,3.965815951,28.93166209,top_10m,,
744,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4897,2022-07-08,30,Bute,BU7,50.83,-124.8917,Summer,30m,BU7_Summer_30m_2022,BU7_30m_8.7.2022,29.741,31.277802,9.7298,30,0.000026716,0.17004,1.386,5.0192,28.325,10-deep,BU7_30_1,30
76,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA058,2023-02-01,326.7339,Bute,BU7,50.83,-124.8917,Winter,bottom,BU7_Winter_bottom_2023,BU7_bottom_1.2.2023,335.8885568,33.21699081,9.016874911,339,0.39353639,0.075722016,0.227554919,2.053614989,30.75321697,bottom,BU7_bottom_1,327
228,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA228,2023-05-08,325.9196,Bute,BU7,50.83,-124.8917,Spring,bottom,BU7_Spring_bottom_2023,BU7_bottom_8.5.2023,335.9594477,33.30885532,9.087852733,339,0.37462718,0.07962104,0.303477354,1.976385159,30.7863445,bottom,BU7_bottom_1,327
748,NONE,HISTORICAL,QUADRA,HAKAI,2022,7,8,QMIC4901,2022-07-08,300,Bute,BU7,50.83,-124.8917,Summer,bottom,BU7_Summer_bottom_2022,BU7_bottom_8.7.2022,297.212,33.29539,9.1937,300,0.000059058,0.11551,0.666,1.9558,30.6978,bottom,BU7_300_1,300
567,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA575,2023-08-23,329.1312,Bute,BU7,50.83,-124.8917,Summer,bottom,BU7_Summer_bottom_2023,BU7_bottom_23.8.2023,329.8521595,33.17199446,8.958511493,333,0.434730643,0.077129413,1.283759632,2.340698766,30.75964816,bottom,,327
598,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA607,2023-11-16,327,Bute,BU7,50.83,-124.8917,Fall,bottom,BU7_Fall_bottom_2023,BU7_bottom_16.11.2023,327.8573738,33.03705426,8.818530222,NA,0.389381088,0.072179926,0.749579098,2.685143638,30.74226506,bottom,,
69,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,2,1,FjeDNA051,2023-02-01,0,Bute,BU7,50.83,-124.8917,Winter,Surface,BU7_Winter_Surface_2023,BU7_Surface_1.2.2023,2.024965935,27.35546013,5.589506833,2,76.03872667,0.790022833,0.6923586,6.104243549,27.5285525,top_10m,BU7_surface_1,0
221,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,5,8,FjeDNA221,2023-05-08,0,Bute,BU7,50.83,-124.8917,Spring,Surface,BU7_Spring_Surface_2023,BU7_Surface_8.5.2023,1.943060168,4.766277419,10.97973584,2,40.26301,6.351617587,13.51289638,8.105805578,3.571671513,top_10m,BU7_surface_1,0
711,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3448,2019-06-25,0,Bute,BU7,50.83,-124.8917,Summer,Surface,BU7_Summer_Surface_2019,BU7_Surface_25.6.2019,1.897,1.20282,13.0795,2,-0.822,0.3982,40.142,7.8512,0.7896,top_10m,BU7_0_1,0
560,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,8,23,FjeDNA568,2023-08-23,0,Bute,BU7,50.83,-124.8917,Summer,Surface,BU7_Summer_Surface_2023,BU7_Surface_23.8.2023,0.929872944,0.86558961,9.972561278,1,171.5208833,0.128300341,41.72728036,7.753258407,0.608117357,top_10m,,0
591,NONE,FJORDS_BIODIVERSITY,QUADRA,HAKAI,2023,11,16,FjeDNA600,2023-11-16,0,Bute,BU7,50.83,-124.8917,Fall,Surface,BU7_Fall_Surface_2023,BU7_Surface_16.11.2023,2.041080233,22.98888782,7.996452259,NA,163.5205667,0.995287879,1.286072217,5.471717751,21.20227519,top_10m,,
673,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3321,2019-06-25,100,Bute,BU8,50.8883,-124.8467,Summer,100m,BU8_Summer_100m_2019,BU8_100m_25.6.2019,99.151,32.83874,9.019,100,-0.967,0.1109,2.061,2.5471,30.4629,100m,BU8_100_3,100
671,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3319,2019-06-25,10,Bute,BU8,50.8883,-124.8467,Summer,10m,BU8_Summer_10m_2019,BU8_10m_25.6.2019,9.908,31.87337,9.7503,10,-0.891,0.1134,3.825,5.0754,28.9135,top_10m,BU8_10_3,10
672,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3320,2019-06-25,25,Bute,BU8,50.8883,-124.8467,Summer,25m,BU8_Summer_25m_2019,BU8_25m_25.6.2019,24.783,31.63537,8.8203,25,-0.902,0.1083,2.606,5.1467,29.4241,10-deep,BU8_25_3,25
670,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3318,2019-06-25,5,Bute,BU8,50.8883,-124.8467,Summer,5m,BU8_Summer_5m_2019,BU8_5m_25.6.2019,4.948,0.17964,9.933,5,-0.885,0.2294,75.224,7.8582,0.1203,top_10m,BU8_5_3,5
674,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3322,2019-06-25,245,Bute,BU8,50.8883,-124.8467,Summer,bottom,BU8_Summer_bottom_2019,BU8_bottom_25.6.2019,234.878,33.47322,9.3674,237,-1.115,0.1097,2.268,2.2102,30.7567,bottom,BU8_245_3,245
669,OCEANOGRAPHY,HISTORICAL,QUADRA,HAKAI,2019,6,25,QMIC3317,2019-06-25,0,Bute,BU8,50.8883,-124.8467,Summer,Surface,BU8_Summer_Surface_2019,BU8_Surface_25.6.2019,1.254,0.24675,11.8389,1,-0.884,0.5376,69.36,8.0876,0.1583,top_10m,BU8_0_3,0
29,NONE,FJORDS_BIODIVERSITY,CALVERT,HAKAI,2023,2,14,FjeDNA005,2023-02-14,100,Rivers,DFO1,51.4593,-127.6055,Winter,100m,DFO1_Winter_100m_2023,DFO1_100m_14.2.2023,99.10405775,32.79885406,7.543910609,100,0.96367692,0.091475565,2.344027539,5.566450755,31.72397942,100m,DFO1_100m_1,100
